Название;Широта;Долгота;Код станции в реестре ЕСР;Номер линии по FreiCON;Название линии;Область;Район;Железная дорога;Регион РЖД:;Класс станции;Тип
Ильинск-Сахалинский ;47.99;142.21;99480;96-069;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Томаринский ;Дальневосточная;Сахалинский;;
Ильинск-Сахалинский ;47.99;142.21;99480;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Томаринский ;Дальневосточная;Сахалинский;;
Илька;51.72;108.51;93800;92-005;Заудинский - Петровский Завод;Республика Бурятия;Заиграевский район;Восточно-Сибирская;Улан-Удэнский;4;промежуточная
Им. генерала Милько;54.78;127.93;91300;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Имангракан;56.85;121.12;90802;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Имбо;49.38;140.04;96711;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Ин;48.59;133.81;96340;96-014;Биробиджан 1 - Волочаевка 1;ЕАО;Смидовичский район;Дальневосточная;Хабаровский;;
Ипполитовка;44.05;132.27;97671;96-033;Сибирцево - Дубининский;Приморский край;Михайловский район;Дальневосточная;Владивостокский;;
Иркир (рзд);51.20;142.71;99781;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Тымовский;Дальневосточная;Сахалинский;;
Иса;51.75;131.03;91640;96-006;Бестужево - Новый Ургал;Амурская область;Селемджинский район;Дальневосточная;Тындинский;;
Исакан;51.91;131.00;91613;96-006;Бестужево - Новый Ургал;Амурская область;Селемджинский район;Дальневосточная;Тындинский;;
Иташино;53.99;122.04;95126;94-003;Куэнга - Бамовская;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;;
Кабарга;45.32;133.36;97382;96-024;Хабаровск I - Сибирцево;Приморский край;ГО Лесозаводск;Дальневосточная;Владивостокский;;
Кабарга;45.32;133.36;97382;96-029;Ружино - Кабарга;Приморский край;ГО Лесозаводск;Дальневосточная;Владивостокский;;
Кавекта;52.91;117.30;94951;94-003;Куэнга - Бамовская;Забайкальский край;Чернышевский район;Забайкальская;Могочинский регион;5;остановочный пункт
Кавокта;56.32;113.01;90391;92-017;Лена Восточная-Хани;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;5;разъезд
Кадала;52.02;113.33;94210;94-001;Петровский Завод - Карымская;Забайкальский край;Черновский район;Забайкальская;Читинский регион;;
Кадала;52.02;113.33;94210;94-012;Кадала - Комбинат;Забайкальский край;Черновский район;Забайкальская;Читинский регион;2;грузовая 
Казанкан;56.17;113.56;90571;92-016;Ангаракан - Казанкан;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;;
Казанкан;56.17;113.56;90571;92-017;Лена Восточная-Хани;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;5;разъезд
Казаново;51.78;115.87;94780;94-002;Карымская - Куэнга;Забайкальский край;Шилкинский район;Забайкальская;Читинский регион;4;промежуточная 
Казачий;49.05;130.83;96111;96-011;Архара - Известковая;Амурская область;Первомайский район;Дальневосточная;Хабаровский;;
Калинино-Сахалинское;46.87;141.96;99315;96-066;Холмск-Северный-Шахта Сахалинская; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Каменушка;47.27;134.36;97204;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;Вяземский;Дальневосточная;Хабаровский;;
Камень-Рыболов;44.73;132.03;97530;96-031;Сибирцево - Платоновка;Приморский край;Ханкайский район;Дальневосточная;Владивостокский;;
Камнега;53.52;129.71;91572;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Картель;50.38;137.39;96590;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
